"city","state","state_code","slug","commissionerate","zone","local_areas","key_industries","intro_note","nearby_cities","company_note","gst_note"
"Mangaluru","Karnataka","IN-KA","mangaluru","CGST Commissionerate, Mysuru","Bangalore Zone","Bunder Port Area|Pandeshwar (Commercial)|Kodialbail|Kavoor Industrial Area|MRPL Refinery Area|Bikarnakatte|Surathkal (NITK Zone)","Port and shipping (New Mangalore Port)|Cashew processing and export|Fish and seafood export|Tiles and ceramics (Udupi-Mangaluru cluster)|Banking and finance","The Cashew Capital of India — Mangaluru is a major port city, India's top cashew processing and export hub, and home to New Mangalore Port, a key petroleum and container terminal.","Udupi|Hassan|Dharwad|Kozhikode","Mangaluru (ROC Karnataka) sees strong incorporation in cashew exporters, seafood processing companies, port logistics firms, and ceramic tile manufacturers.","Mangaluru's cashew exporters must file LUT for zero-rated exports. Seafood exporters have complex cold chain ITC management. Ceramic tile manufacturers need to manage input credit on gas and electricity."
"Madurai","Tamil Nadu","IN-TN","madurai","CGST Commissionerate, Madurai","Chennai Zone","Mattuthavani (Commercial Hub)|Anna Nagar|Kappalur SIDCO|K.K. Nagar|Thirunagar|Alagar Kovil Road|Melur Road Industrial Area","Textile weaving and trading|Engineering and foundry|Tourism (Meenakshi Temple)|Agricultural trading|Hospitality and retail","The Temple City of Tamil Nadu and an ancient trading hub — Madurai is a major textile weaving and trading city, South India's largest agricultural market, and a significant pilgrimage destination.","Coimbatore|Tiruchirappalli|Dindigul|Virudhunagar","Madurai (ROC Tamil Nadu, Chennai) sees incorporation in textile companies, agri-trading businesses, engineering units, and hospitality companies serving the temple tourism economy.","Madurai's temple town economy creates unique GST questions around religious services, prasad, and pooja materials. Textile traders must navigate GST applicability on different fabric categories carefully."
"Tiruchirappalli","Tamil Nadu","IN-TN","tiruchirappalli","CGST Commissionerate, Madurai","Chennai Zone","Ariyamangalam Industrial Area|Thuvakudi (BHEL Township)|Srirangam|Woraiyur|Mannarpuram Commercial Zone|Golden Rock","Heavy engineering (BHEL — power plant equipment)|Cigars and tobacco|Artificial jewellery|Educational institutions (NIT, Anna University)|Cement","The Rock Fort City — Trichy is home to BHEL's largest manufacturing facility for power plant equipment, a major artificial jewellery and cigar manufacturing cluster, and top engineering colleges.","Madurai|Salem|Puducherry|Thanjavur","Trichy (ROC Tamil Nadu) sees incorporation in BHEL ancillary units, engineering companies, educational institutions, and jewellery manufacturers. BHEL's presence drives dense vendor ecosystem formation.","BHEL vendor companies require impeccable GST compliance — government procurement requires zero-error invoicing. Cigar and tobacco manufacturers have specific excise-GST overlap compliance needs."
"Vijayawada","Andhra Pradesh","IN-AP","vijayawada","CGST Commissionerate, Vijayawada","Hyderabad Zone","Auto Nagar (Industrial Cluster)|Benz Circle (Commercial)|Moghalrajpuram|Krishnalanka|Ibrahimpatnam (New Capital Zone)|Gannavaram Airport Zone","Automobile servicing and components (Auto Nagar)|Agricultural trading (Krishna delta)|Wholesale and retail|Education|New state capital construction (Amaravati)","Andhra Pradesh's commercial capital and the Business Capital of the state — Vijayawada is the trade hub for the fertile Krishna and Godavari delta agricultural zones.","Guntur|Visakhapatnam|Amaravati|Eluru","Vijayawada (ROC AP, Hyderabad) sees incorporation in agri-trading companies, auto ancillary businesses, and construction companies related to Amaravati state capital development.","Vijayawada's agri-trading businesses must understand GST on various food commodities. Construction companies working on Amaravati need careful GST compliance on works contracts and materials."
"Kozhikode","Kerala","IN-KL","kozhikode","CGST Commissionerate, Kozhikode","Kochi Zone","Mavoor Road (Commercial)|Calicut Beach Road|Kozhikode SIDCO|Feroke|Ramanattukara|Kunnamangalam|Nadakkavu","Timber and plywood|Spice trading (pepper, cardamom)|Tiles and ceramics|IT and startups (growing hub)|Textiles and handlooms","The City of Spices and North Kerala's commercial capital — Kozhikode was historically the world's spice trading capital and today leads Kerala in timber, tiles, and a growing IT startup ecosystem.","Malappuram|Palakkad|Kannur|Wayanad","Kozhikode (ROC Kerala) sees incorporation in spice exporters, timber companies, tile manufacturers, and an emerging startup community supported by NASSCOM incubation centres.","Kozhikode's spice exporters must file LUT for zero-rated exports. Timber and plywood businesses need to carefully manage ITC on forest produce inputs and classify finished products correctly."
"Udaipur","Rajasthan","IN-RJ","udaipur","CGST Commissionerate, Jodhpur","Jaipur Zone","RIICO Industrial Area|Sukher Industrial Zone|Hiran Magri|City Palace Zone (Tourism)|Fateh Sagar Area|Delhi Gate Commercial Area","Tourism and luxury hospitality (Lake City)|Zinc and copper mining (Hindustan Zinc)|Marble and stone|Textiles and crafts|Agriculture","The City of Lakes and Rajasthan's tourism jewel — Udaipur is home to Hindustan Zinc (the world's largest integrated zinc producer) and is one of India's top luxury tourism destinations.","Jodhpur|Ajmer|Chittorgarh|Kota","Udaipur (ROC Rajasthan) sees incorporation in hospitality and resort businesses, Hindustan Zinc ancillary units, marble and stone companies, and crafts exporters.","Udaipur's luxury hotels must carefully comply with hotel accommodation GST slab rules. Zinc mining ancillary companies need systematic compliance on mineral extraction service GST."
"Kota","Rajasthan","IN-RJ","kota","CGST Commissionerate, Jaipur","Jaipur Zone","Industrial Area (Rangpur Road)|DC (Coaching City Hub)|Dadabari|Jawahar Nagar|Chambal Industrial Area|Vigyan Nagar","Education and coaching (JEE/NEET coaching capital)|Chemical industries|Agricultural processing|Power generation (Kota Super Thermal Plant)|Stone quarrying","India's Coaching Capital — Kota is where over 2 lakh students enrol annually for IIT-JEE and NEET coaching, creating a massive education economy alongside chemical and power industries.","Bundi|Baran|Jhalawad|Udaipur","Kota (ROC Rajasthan, Jaipur) sees very high incorporation from coaching institutes, hostel and PG accommodation businesses, and chemical industry companies.","Kota's coaching institutes need expert guidance on GST applicability — educational services exemption boundaries, hostel accommodation rates, and food service GST are all frequently misapplied here."
"Siliguri","West Bengal","IN-WB","siliguri","CGST Commissionerate, Siliguri","Kolkata Zone","Sevoke Road (Commercial)|Bidhan Market|Dabgram Industrial Area|Hong Kong Market|Hill Cart Road|Matigara|Bagdogra Airport Zone","Tea trading (Darjeeling and Dooars tea gateway)|Timber and plywood|Cross-border trade (Nepal, Bhutan, Bangladesh)|Tourism (gateway to Sikkim, Bhutan)|Agricultural trading","The Chicken's Neck Gateway — Siliguri is Northeast India's second-largest commercial city, the gateway for cross-border trade with Nepal, Bhutan, and Bangladesh, and the hub for Darjeeling tea trading.","Darjeeling|Jalpaiguri|Cooch Behar|Gangtok","Siliguri (ROC West Bengal, Kolkata) sees incorporation from tea trading companies, cross-border trading firms, logistics businesses, and hospitality companies serving the North Bengal tourism economy.","Siliguri's cross-border traders need careful IGST and customs compliance. Tea companies must navigate complex GST on bulk versus packaged tea. Cross-border service providers dealing with Nepal and Bhutan need IEC and GST coordination."
"Aurangabad","Maharashtra","IN-MH","aurangabad","CGST Commissionerate, Aurangabad","Pune Zone","Chikalthana MIDC|Waluj MIDC (Auto Hub)|Shendra AURIC (Industrial City)|Station Road (Commercial)|Garkheda|Cidco N-1 to N-12 Areas","Automobile manufacturing (Skoda, Volkswagen, Bajaj)|Pharmaceuticals|Tourism (Ajanta, Ellora Caves)|Textiles (Himroo)|Food processing","Maharashtra's Aurangabad (Chhatrapati Sambhajinagar) is India's emerging auto hub — Skoda, Volkswagen, and Bajaj have plants here — alongside world heritage sites Ajanta and Ellora driving tourism.","Nashik|Pune|Latur|Nanded","Aurangabad (ROC Maharashtra, Mumbai) sees incorporation in auto ancillary units, pharma companies, tourism businesses, and Himroo textile weavers. AURIC is attracting many new industrial companies.","Aurangabad's auto ancillary units need multi-tier supply chain ITC management. Pharma companies require careful HSN classification. Tourism businesses serving Ajanta-Ellora visitors have specific service tax compliance needs."
"Warangal","Telangana","IN-TG","warangal","CGST Commissionerate, Hyderabad","Hyderabad Zone","KIADB Industrial Area|Hanamkonda (Commercial)|Kazipet (Railway Junction)|Bheemaram|Subedari|Naimnagar","Textile weaving (Pochampally and Kakatiya silk)|Granite and stone quarrying|Engineering goods|Education|Agricultural trading","Telangana's second-largest city — Warangal is known for the famous Pochampally silk weaves and Kakatiya stone carvings, alongside a growing engineering and granite quarrying economy.","Hyderabad|Khammam|Karimnagar|Nalgonda","Warangal (ROC Telangana, Hyderabad) sees incorporation in handloom silk companies, granite quarrying businesses, engineering units, and educational institutions.","Warangal's Pochampally silk weavers have handloom GST exemption benefits. Granite quarrying businesses must comply with mineral extraction GST and state royalty obligations carefully."
"Jalandhar","Punjab","IN-PB","jalandhar","CGST Commissionerate, Ludhiana","Chandigarh Zone","GT Road Industrial Belt|Focal Point|Leather Complex|Guru Nanak Mission Chowk|BMC Chowk (Commercial)|Nakodar Road|Bus Stand Area","Sports goods manufacturing (bats, balls, nets)|Leather goods and footwear|Hand tools and hardware|Furniture|Rubber and plastics","Punjab's sports goods capital — Jalandhar is India's top manufacturer of sports equipment including cricket bats, footballs, and gym equipment, alongside a major leather and hand tools industry.","Ludhiana|Amritsar|Pathankot|Phagwara","Jalandhar (ROC Punjab and Haryana) sees high incorporation in sports goods exporters, leather manufacturers, and hand tool companies. Export-oriented companies dominate new formations.","Jalandhar's sports goods exporters need LUT filing and zero-rated export compliance. Leather manufacturers must carefully manage GST on raw hides, semi-processed, and finished goods at different rates."
"Tirupati","Andhra Pradesh","IN-AP","tirupati","CGST Commissionerate, Nellore","Hyderabad Zone","Tirupati Industrial Area|Alipiri (Pilgrimage Zone)|TTD Zone|Srikalahasti (Tiles)|Renigunta (Airport and Rail)|Chandragiri","Pilgrimage and temple economy (TTD)|Tourism and hospitality|SHAR (Satish Dhawan Space Centre)|Ceramic tiles (Srikalahasti)|Education","Home to the world's richest and most visited temple — Tirupati's TTD ecosystem drives India's largest pilgrimage economy, alongside ISRO's SHAR launch centre and a major tiles industry.","Vijayawada|Chennai|Nellore|Kadapa","Tirupati (ROC AP) sees incorporation in hospitality, tourism, pilgrimage services, tile manufacturers, and SHAR-related aerospace ancillary companies.","Tirupati's temple-economy businesses require careful GST guidance on religious services, prasad, and dharmasala accommodation — many are mistakenly non-compliant. Tile manufacturers need ITC management on gas and kiln inputs."
"Jabalpur","Madhya Pradesh","IN-MP","jabalpur","CGST Commissionerate, Bhopal","Bhopal Zone","Gorakhpur Industrial Area|Napier Town (Commercial)|Adhartal|Vijay Nagar|Madan Mahal|Bargi Hills (Tourism)|Ordnance Factory Area","Defence production (Ordnance Factory)|Marble and granite|Paper mills|Legal services (MP High Court)|Government and administration","MP's judicial capital and a major defence production city — Jabalpur hosts the Madhya Pradesh High Court, Gun Carriage Factory, and grey marble quarries, with India's first Marble Rocks.","Bhopal|Rewa|Satna|Narsinghpur","Jabalpur (ROC MP, Gwalior) sees incorporation in defence ancillary units, marble and granite companies, paper manufacturers, and law-firm-related legal entities.","Jabalpur's marble quarrying businesses must comply with mineral extraction GST and state royalty provisions. Defence vendor companies need impeccable GST records for ordnance factory procurement."
"Gwalior","Madhya Pradesh","IN-MP","gwalior","CGST Commissionerate, Bhopal","Bhopal Zone","Maharajpura EPIP Zone|Mela Ground (Commercial)|City Centre|Lashkar|Thatipur|Gola Ka Mandir Area|Morar Cantonment","Textiles and saris (Chanderi, Maheshwari)|Engineering goods|Tourism (Gwalior Fort)|Government and defence (Gwalior Cantonment)|IT services","The City of Music and a UNESCO Creative City — Gwalior is the ROC headquarters for MP and a major centre for Chanderi and Maheshwari textile weaving, alongside engineering and government businesses.","Agra|Bhopal|Jhansi|Shivpuri","Gwalior hosts the ROC for Madhya Pradesh and Chhattisgarh. Company registrations from across both states are processed here. Textile weavers, engineering units, and government contractors are primary local clients.","Gwalior's Chanderi and Maheshwari weavers have handloom GST exemption benefits. As the ROC centre for MP, companies here need expert guidance on both ROC and GST compliance simultaneously."
"Durgapur","West Bengal","IN-WB","durgapur","CGST Commissionerate, Kolkata","Kolkata Zone","DSP Township (Steel Plant)|Durgapur Steel Market|City Centre (Commercial)|Benachity|Nachan Road|DSDA Industrial Area|Andal Airport Zone","Steel production (Durgapur Steel Plant)|Engineering and fabrication|Chemicals and fertilisers|Cement|Mining equipment","The Steel City of Eastern India — Durgapur has one of India's largest integrated steel plants (DSP) alongside a major chemicals, cement, and mining equipment manufacturing cluster.","Asansol|Kolkata|Raniganj|Bankura","Durgapur (ROC West Bengal, Kolkata) sees incorporation in steel ancillary units, chemical companies, and engineering manufacturers. DSP vendor ecosystem drives many SME company formations.","Durgapur's steel and engineering companies face complex multi-tier ITC supply chains. Chemical manufacturers need precise HSN classification — products can shift between exempt and taxable categories easily."
"Srinagar","Jammu & Kashmir","IN-JK","srinagar","CGST Commissionerate, Srinagar","Chandigarh Zone","Lal Chowk (Commercial)|Rajbagh|Bemina Industrial Area|Dalgate (Tourism Zone)|Sonawar|Nowgam Industrial Estate|Boulevard Road","Tourism and houseboat economy|Pashmina and Kashmiri handicrafts|Dry fruit trading and export|Horticulture (apple, saffron)|Carpet weaving","The Summer Capital of J&K — Srinagar has a special GST status in a recently reorganised UT and is India's top destination for Pashmina shawls, Kashmiri carpets, dry fruits, and saffron exports.","Jammu|Anantnag|Baramulla|Pulwama","Srinagar (ROC J&K) has unique UT-specific GST provisions. Handicraft exporters, horticulture businesses, tourism operators, and dry fruit traders are primary incorporation clients.","Srinagar businesses have UT-specific GST provisions under UTGST. Pashmina and Kashmiri handicraft exporters need careful GST classification and LUT filing. Dry fruit traders must understand agri-product GST exemption boundaries."
"Jammu","Jammu & Kashmir","IN-JK","jammu","CGST Commissionerate, Jammu","Chandigarh Zone","Gandhi Nagar (Commercial)|Bari Brahmana Industrial Area|Narwal Industrial Zone|Trikuta Nagar|Satwari Airport Zone|Jewel Chowk","FMCG and consumer goods manufacturing (Bari Brahmana)|Tourism (Vaishno Devi)|Pharmaceuticals|Agricultural trading|Government services","J&K's winter capital and the gateway to Vaishno Devi — Jammu's Bari Brahmana industrial area hosts FMCG companies attracted by UT incentives, alongside a massive pilgrimage economy.","Srinagar|Pathankot|Udhampur|Kathua","Jammu (ROC J&K) sees incorporation in FMCG companies, pilgrimage hospitality businesses, pharma units, and agricultural commodity traders benefiting from UT fiscal incentives.","Jammu businesses have UT-specific GST provisions under UTGST. FMCG companies in Bari Brahmana benefit from certain industrial area provisions. Vaishno Devi pilgrimage service businesses need careful GST compliance."
"Shimla","Himachal Pradesh","IN-HP","shimla","CGST Commissionerate, Shimla","Chandigarh Zone","The Mall Road (Tourism)|Sanjauli (Commercial)|Vikas Nagar|Baddi Road Corridor|Khalini|Dhalli Industrial Area","Tourism and hospitality|Apple cultivation and fruit processing|Government and administration|Pharmaceuticals (linked to Baddi-Barotiwala)|Handicrafts and woolens","Himachal Pradesh's capital and India's most popular Himalayan hill station — Shimla has a major tourism economy, a significant apple fruit processing industry, and is the state administration hub.","Solan|Mandi|Chandigarh|Dharamsala","Shimla (ROC HP, Chandigarh) sees incorporation in tourism and hospitality companies, fruit processing businesses, and government contractors. Apple export companies from the Shimla region need formalisation for APEDA compliance.","Shimla's hospitality sector needs hotel accommodation GST compliance. Apple growers selling packaged processed products must carefully evaluate GST applicability vs farm produce exemptions."
"Kolhapur","Maharashtra","IN-MH","kolhapur","CGST Commissionerate, Pune","Pune Zone","Kagal MIDC (Five Star Industrial Area)|Shiroli MIDC|Shivaji Peth (Commercial)|Laxmipuri|Tarabai Park|Kasba Bawada","Engineering and auto components (Kagal, Shiroli)|Kolhapuri chappal (footwear)|Jaggery and sugarcane processing|Casting and foundry|Textiles","Maharashtra's engineering capital — Kolhapur's Kagal Five Star Industrial Area and Shiroli MIDC host hundreds of auto ancillary and engineering companies. The iconic Kolhapuri chappal is globally recognised.","Pune|Sangli|Satara|Belgaum","Kolhapur (ROC Maharashtra) sees high incorporation in auto ancillary units, casting companies, and footwear manufacturers. Kagal MIDC is a significant cluster for new industrial company formations.","Kolhapur's engineering exporters need systematic LUT and ITC management. Kolhapuri chappal manufacturers must correctly classify handmade vs machine-made footwear under GST — rates differ significantly."
"Roorkee","Uttarakhand","IN-UT","roorkee","CGST Commissionerate, Dehradun","Meerut Zone","SIDCUL Haridwar-Roorkee Corridor|Civil Lines (Commercial)|IIT Roorkee Campus Area|Ganesh Nagar Industrial Zone|Manglour Road","FMCG and consumer goods manufacturing (SIDCUL)|Scientific instruments|Engineering equipment|Education (IIT Roorkee)|Agricultural machinery","Home to Asia's oldest engineering college (IIT Roorkee) — Roorkee sits in the thriving Haridwar-Roorkee industrial corridor, attracting major FMCG and engineering companies through Uttarakhand's industrial incentives.","Haridwar|Dehradun|Muzaffarnagar|Saharanpur","Roorkee (ROC Uttarakhand, Dehradun) sees incorporation in FMCG manufacturers, engineering companies, and startup spinoffs from IIT Roorkee's incubation ecosystem.","Roorkee's FMCG manufacturers in the SIDCUL corridor benefit from Uttarakhand industrial incentives. Companies here must ensure correct GST registration category — many small manufacturers qualify for Composition Scheme."
"Saharanpur","Uttar Pradesh","IN-UP","saharanpur","CGST Commissionerate, Meerut","West UP Zone","Kutchery Road (Commercial)|Haridwar Road Industrial Area|Behat Road|Court Road|Ambala Road Corridor|Badshahi Bagh","Woodcraft and furniture (India's Woodcraft City)|Paper mills|Tobacco and bidi manufacturing|Sugar mills|Food processing","India's Woodcraft City — Saharanpur is India's largest woodcraft and wooden furniture cluster, producing intricately carved wooden items exported globally, alongside a major paper and sugar industry.","Dehradun|Muzaffarnagar|Roorkee|Ambala","Saharanpur (ROC UP, Kanpur) sees incorporation in woodcraft export companies, paper manufacturers, sugar mills, and food processing businesses. Exporters need IEC alongside GST registration.","Saharanpur's woodcraft exporters need LUT filing and zero-rated export compliance. Tobacco manufacturers must comply with both GST and central excise provisions for bidi and smokeless tobacco products."
"Muzaffarnagar","Uttar Pradesh","IN-UP","muzaffarnagar","CGST Commissionerate, Meerut","West UP Zone","Sugar Mill Area|Mansurpur Road Industrial Zone|Civil Lines (Commercial)|Budhana Road|Khatauli|Shamli Road Corridor","Sugar manufacturing (UP's sugar belt)|Jaggery (gur) production|Steel and iron trading|Paper mills|Agricultural equipment","The Sugar Capital of Uttar Pradesh — Muzaffarnagar has the highest density of sugar mills in India's largest sugarcane-growing state, alongside a major jaggery and iron trading economy.","Meerut|Saharanpur|Shamli|Bijnor","Muzaffarnagar (ROC UP, Kanpur) sees incorporation in sugar mills, jaggery processors, iron and steel traders, and agri-equipment manufacturers.","Muzaffarnagar's sugar mills have complex GST compliance — molasses, bagasse, and filter cake by-products have different GST treatments. Jaggery (gur) has specific GST exemption provisions that must be applied correctly."
"Bhavnagar","Gujarat","IN-GJ","bhavnagar","CGST Commissionerate, Rajkot","Rajkot Zone","Alang Ship Breaking Yard|Bhavnagar Industrial Estate|Ghogha Port Area|Nilambag (Commercial)|Vidyanagar Road","Ship breaking (Alang — world's largest ship breaking yard)|Cotton textiles and ginning|Diamond polishing|Chemicals|Port and logistics","Home to the world's largest ship breaking yard at Alang — Bhavnagar handles over 50% of global ship recycling. It is also a major cotton textiles and chemicals hub in Saurashtra.","Rajkot|Ahmedabad|Surendranagar|Junagadh","Bhavnagar (ROC Gujarat) sees unique incorporation needs from ship recycling companies, steel plate traders, chemical companies, and cotton ginning businesses.","Bhavnagar's ship breaking industry has unique GST provisions — imported ships for breaking have specific duty and GST treatment. Steel scrap from ship breaking has well-defined GST rates that must be applied correctly."
"Gandhinagar","Gujarat","IN-GJ","gandhinagar","CGST Commissionerate, Ahmedabad","Ahmedabad Zone","GIFT City (IFSC)|Infopark (IT Zone)|Gandhinagar Sector 16-28 (Commercial)|GIDC Chandkheda|Koba Circle|Adalaj","GIFT City financial services (IFSC)|Government and administration|IT services (Infopark)|Education (DAIICT, NIFT)|Electronics manufacturing","Gujarat's planned capital and home to India's only International Financial Services Centre — GIFT City in Gandhinagar is India's first operational smart city and a global fintech and financial services hub.","Ahmedabad|Mehsana|Kalol|Anand","Gandhinagar (ROC Gujarat) is the administrative capital with high government contractor incorporation. GIFT City entities have unique IFSC-specific company and GST structures requiring specialist expertise.","GIFT City entities are outside the ambit of regular GST — IFSC units deal in foreign currency and are treated as overseas suppliers. However, supporting businesses outside GIFT SEZ need regular GST registration. Expert guidance is critical."
"Dibrugarh","Assam","IN-AS","dibrugarh","CGST Commissionerate, Guwahati","Guwahati Zone","Lahowal Oil Fields Area|Chowkidinghee (Commercial)|AT Road|Dibrugarh University Area|Naharkatia|Duliajan (ONGC Township)","Tea cultivation and processing (Assam's tea capital)|Petroleum extraction (ONGC, Oil India)|Bamboo and timber|Healthcare|Education","The Tea City of the World — Dibrugarh is India's largest tea producing region and home to ONGC and Oil India's Upper Assam oil fields. It is also Northeast India's medical services hub.","Tinsukia|Jorhat|Sibsagar|Itanagar","Dibrugarh (ROC Assam, Guwahati) sees incorporation in tea export companies, oil field service providers, healthcare businesses, and bamboo industry companies.","Dibrugarh's tea companies must navigate GST on bulk vs packaged tea. Oil field service companies working as ONGC vendors need careful compliance on service categories and RCM provisions applicable to petroleum sector contracts."
